date,precipitation_in,station_id
2017-08-20,0.0,USW00012924
2017-08-21,0.0,USW00012924
2017-08-22,0.0,USW00012924
2017-08-23,0.20063869443925977,USW00012924
2017-08-24,0.007017114509344984,USW00012924
2017-08-25,0.04480070557517154,USW00012924
2017-08-26,0.0,USW00012924
2017-08-27,0.0,USW00012924
2017-08-28,0.0,USW00012924
2017-08-29,0.12335634398655496,USW00012924
2017-08-30,0.09485205757570604,USW00012924
2017-08-31,0.0744036563349798,USW00012924
2017-09-01,0.0,USW00012924
2017-09-02,0.0,USW00012924
2017-09-03,0.9911913829741036,USW00012924
2017-09-04,0.171898433560629,USW00012924
2017-09-05,0.0,USW00012924
2017-09-06,0.0,USW00012924
2017-09-07,0.0,USW00012924
2017-09-08,0.07229172455151708,USW00012924
2017-09-09,0.18289369925250606,USW00012924
2017-09-10,2.1827093981224936,USW00012924
